paperId,title,issues
"04539f35-df80-4055-b815-4abe2e909fa6","Peringkasan Otomatis Berita Bahasa Indonesia Menggunakan Transformer","lihat summary.id=0213de62-ca3f-4296-8d57-250b1e3bc227 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"add63018-3403-4121-ab60-ce82cf9dd04b","The impact of AI writing tools on the content and organization of students’ writing: EFL teachers’ perspective","lihat summary.id=11cec5e0-fb27-436d-aa29-79c698c2b800 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"d005203f-6be3-4048-8e36-c30c655d71eb","Penggunaan Media Pembelajaran Video terhadap Hasil Belajar Siswa SD","lihat summary.id=144ff877-b8fe-48ba-b1e5-871994cd4926 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"8eba3095-7922-4c51-86ce-6a1160e791c0","Fuzzy-Appearance Manifold and Fuzzy-Nearest Distance Calculation for Model-Less 3D Pose Estimation of Degraded Face Images","lihat summary.id=941fb563-62db-4557-b6c1-88a671d86009 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"3ef6acb4-dbac-40e6-8e20-324142b34fbd","Analisis Curah Hujan untuk Mitigasi Bencana Menggunakan LSTM","lihat summary.id=9be6a18c-1c6f-48df-8853-a2622e6375e7 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"5a08fdcd-f9e8-4870-be2f-7c137f1a1125","Prediksi Kemacetan Lalu Lintas Perkotaan dengan Graph Neural Network","lihat summary.id=a61a5921-f2bf-41b0-a700-4dc94b196275 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"192dc6ec-8d08-4f46-a7b7-6c417080d9ee","Deteksi Hoaks Politik pada Media Sosial Indonesia","lihat summary.id=a705d6b4-c683-4fed-b9fc-ce3c6b3d77b1 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"52c7298b-21ae-455a-87cf-ec3c0544414f","Pengenalan Ujaran Bahasa Jawa untuk Aplikasi Asisten Virtual","lihat summary.id=ba31349a-3fef-44de-abca-21de68e85b53 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"7bf43df6-af26-452a-baa8-229b7b29ccc8","Analyzing augmented reality (AR) and virtual reality (VR) recent development in education","lihat summary.id=e4f08e36-1f8d-4395-bb66-854d5710dcda (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"3530657b-aaa4-49ba-b719-be02dbb807d5","Emerging Smart Logistics and Transportation Using IoT and Blockchain","lihat summary.id=f3ceda6d-031a-42a9-9c0a-43c10676c974 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
"52669ebe-2faa-4782-ad72-102e598def6c","Single Document Automatic Text Summarization using Term Frequency-Inverse Document Frequency (TF-IDF)","lihat summary.id=fe17b5f5-ebee-4460-b341-1de05425a902 (status=draft) untuk detail — regenerasi CSV pasca-fakta, alasan spesifik per-baris tidak tersimpan terpisah dari DB"
